model,origin,child_asin,colour,size,y_units,pred,lo,hi
naive_family,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,83.33802816901408,10.617961347681366,611.2333155168358
size_ratio,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,65.35714285714286,15.323314177048367,268.7534557261999
size_ratio,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,25.93537414965986,5.5366854145066515,109.99117283081334
size_ratio,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,35.79081632653061,7.98367649126105,149.6692908286716
ridge,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,13.657584711994483,7.293649875201258,24.904733479490034
ridge,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,4.491028805079714,1.5812955094852619,10.680722810472657
ridge,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,8.685845740896307,4.17409114318932,17.13180423772183
lasso,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,24.788161703487518,13.260880551741087,45.63311508937839
lasso,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,11.461099361894814,5.477979857493557,22.970280970755514
lasso,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,18.490811062200002,9.578225917799838,34.91261132201189
elasticnet,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,27.197605539269333,15.186187968402864,48.12243449170125
elasticnet,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,11.265079843177542,5.549835969980195,21.96732074650335
elasticnet,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,19.642141201149613,10.608194377619672,35.706655618181706
poisson_glm,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,40.11555562657998,17.89277583966538,88.47805917080814
poisson_glm,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,40.11555562657998,17.89277583966538,88.47805917080814
poisson_glm,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,40.11555562657998,17.89277583966538,88.47805917080814
negbin_glm,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,36.51417299893212,8.395398243582221,64.63294775428201
negbin_glm,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,36.51417299893212,8.395398243582221,64.63294775428201
negbin_glm,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,36.51417299893212,8.395398243582221,64.63294775428201
random_forest,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,22.851304316767926,2.630820406437049,91.18053771794989
random_forest,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,14.24307673023026,1.6958695786316837,48.9211904776905
random_forest,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,19.910303107107215,2.5811913515717286,75.31406832693226
xgboost,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,10.37101936340332,7.1506123542785645,33.17285919189453
xgboost,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,6.947406768798828,4.3116135597229,32.05371856689453
